"week","product_analytic_sub_category","gmv","product_mrp","list_price","units","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
1,"AmplifierReceiver",4766,2374.75,1191.5,4,0.494603151575788,4.75,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"GamingAccessory",38521,1767.93548387097,1228.45161290323,32,0.225975373150196,2.64516129032258,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"AudioAccessory",12849,7211.33333333333,4283,3,0.27460760327442,6.33333333333333,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"AudioMP3Player",26313,2326.3125,1619.875,17,0.418542078187356,3.0625,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"HomeAudio",112044,4690.3,2801.1,40,0.364205685368225,2.725,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"Camera",69445,10494.875,8680.625,8,0.189383339419202,2.5,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"Game",70828,3469.83333333333,2951.16666666667,24,0.138947353779565,2.08333333333333,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"CameraAccessory",18196,1422.53571428571,649.857142857143,28,0.456362920359957,2.5,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"CameraStorage",2962,1346,542,6,0.511501007001656,2.8,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"Camera",35895,59995,35895,1,0.401700141678473,8,0,1,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"GamingConsole",36618,8027.6,7323.6,5,0.241526999091299,4.4,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"TVVideoSmall",110483,2771.55555555556,1570.2962962963,67,0.560535866992479,1.46296296296296,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"Speaker",130952,2920.73684210526,1719.13157894737,78,0.326001686823045,3.32894736842105,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
